#,USA State,Total Cases,New Cases,Total Deaths,Total Recovered,Active Cases,TotÂ Cases/1M pop,Deaths/1M pop,Total Tests,Tests/ 1M pop,Population
1,New Jersey,609721,7082,20253,311241,278227,68645,2280,8474356,954084,8882190
2,New York,1225994,13670,40435,499388,686171,63022,2079,28131034,1446061,19453561
3,Massachusetts,448447,,13359,344621,90467,65063,1938,11944985,1733040,6892503
4,Rhode Island,103386,901,1996,6101,95289,97593,1884,2219805,2095419,1059361
5,Connecticut,221544,968,6553,55461,159530,62139,1838,4837404,1356806,3565287
6,South Dakota,104512,317,1614,98170,4728,118138,1824,388172,438781,884659
7,Mississippi,245847,1948,5356,198888,41603,82606,1800,1969970,661919,2976149
8,North Dakota,95378,243,1365,92249,1764,125158,1791,386131,506692,762062
9,Louisiana,361148,5313,8080,298614,54454,77686,1738,4805202,1033645,4648794
10,Illinois,1052682,6652,19724,815797,217161,83073,1557,14457620,1140927,12671821
11,Arizona,649040,7311,10855,87672,550513,89170,1491,3555005,488411,7278717
12,Pennsylvania,754486,7153,18787,556041,179658,58935,1468,8161897,637549,12801989
13,Michigan,576573,3295,14511,415079,146983,57733,1453,9268890,928109,9986857
14,Arkansas,262020,,4186,232709,25125,86825,1387,2518547,834563,3017804
15,Indiana,578494,4375,9202,372444,196848,85929,1367,6271603,931580,6732219
16,Iowa,301774,1451,4251,262247,35276,95647,1347,1411428,447352,3155070
17,New Mexico,159119,,2807,81603,74709,75886,1339,2124990,1013430,2096829
18,Alabama,414583,3588,5945,221961,186677,84554,1212,2094658,427204,4903185
19,Tennessee,670482,4983,8232,596883,65367,98179,1205,5939455,869718,6829174
20,District Of Columbia,32820,220,842,22899,9079,46504,1193,978833,1386942,705749
21,Nevada,256172,2187,3658,139805,112709,83169,1188,2289156,743195,3080156
22,South Carolina,371180,5802,5934,168440,196806,72092,1153,4168325,809586,5148714
23,Kansas,254299,,3355,N/A,N/A,87289,1152,1083932,372062,2913314
24,Georgia,791324,9036,11975,362953,416396,74531,1128,6220588,585885,10617423
25,Florida,1531192,13720,23614,784601,722977,71292,1099,17148040,798410,21477737
26,Texas,2057955,7217,31829,1653116,373010,70974,1098,17585800,606493,28995881
27,Missouri,463660,,6710,153128,303822,75546,1093,4450748,725181,6137428
28,Maryland,317815,2948,6449,9443,301923,52569,1067,6298178,1041765,6045680
29,Minnesota,441935,1581,5885,420919,15131,78362,1044,6043802,1071666,5639632
30,Delaware,68065,892,995,N/A,N/A,69899,1022,546399,561121,973764
31,Montana,88110,457,1077,82190,4843,82440,1008,862427,806928,1068778
32,West Virginia,105219,827,1702,76272,27245,58711,950,1690407,943230,1792147
33,Nebraska,179199,,1803,122564,54832,92638,932,879242,454528,1934408
34,Colorado,366774,,5285,79640,281849,63690,918,2262372,392859,5758736
35,Wisconsin,515982,2712,5290,482669,28023,88620,909,2937842,504573,5822434
36,Wyoming,48701,412,522,46127,2052,84147,902,542316,937033,578759
37,Idaho,152364,,1564,68657,82143,85259,875,909722,509059,1787065
38,Ohio,807293,7654,9993,663856,133444,69064,855,8304981,710489,11689100
39,California,2862619,16187,31827,1210779,1620013,72449,805,37130366,939718,39512223
40,North Carolina,650926,9853,7825,521475,121626,62063,746,7788507,742605,10488084
41,Oklahoma,344506,3142,2882,303476,38148,87063,728,2898461,732495,3956971
42,Kentucky,317345,4063,3042,39998,274305,71031,681,3709482,830294,4467673
43,Virginia,417839,5294,5626,33798,378415,48953,659,5724777,670701,8535519
44,New Hampshire,54125,,885,46633,6607,39806,651,1112047,817855,1359711
45,Washington,284738,,3930,119235,161573,37392,516,4128417,542150,7614893
46,Utah,317559,2742,1460,260728,55371,99053,455,2980938,929812,3205958
47,Oregon,129109,,1708,N/A,N/A,30611,405,2874572,681544,4217737
48,Maine,31958,808,461,11840,19657,23775,343,1340121,996957,1344212
49,Alaska,49535,332,227,N/A,N/A,67713,310,1382276,1889530,731545
50,Vermont,9573,205,162,6403,3008,15342,260,779178,1248705,623989
51,Hawaii,23908,175,318,13182,10408,16886,225,882893,623568,1415872